id,answer
CORP-TAX-012,"Gemäß § 22 Abs. 2 BAO (Bundesabgabenordnung) und § 22 Abs. 1 EStG (Einkommensteuergesetz) werden Dividenden ausländischer EU-Tochtergesellschaften, wenn die Beteiligung mindestens 15 % beträgt und seit mindestens 2 Jahren gehalten wird, als Einkünfte aus Kapitalvermögen behandelt. Die Dividende unterliegt der Körperschaftsteuer und der Gewerbesteuer in Österreich. Der Steuerpflichtige muss die Dividende in seinem Einkommensteuererklärung (EÜR) abführen."
CORP-TAX-013,"Gemäß § 295a BAO kann der Empfänger, wenn er nicht Nutzungsberechtigter ist, auf den Nutzungsberechtigten abgestellt werden. Dies ermöglicht es, dass § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) auf denselben Konzern anwendbar sein können, da die Aufwendungen auf den Nutzungsberechtigten abgestellt werden und dort abgezogen werden können, wenn die Voraussetzungen erfüllt sind."
CORP-TAX-014,"Die Voraussetzungen für eine internationale Schachtelbeteiligung sind nicht explizit in den gegebenen Auszügen genannt. Allerdings wird in § 9 Abs. 3 KStG (Körperschaftsteuergesetz) erwähnt, dass eine internationale Schachtelbeteiligung entsteht, wenn ein Steuerpflichtiger eine Beteiligung an einer ausländischen Körperschaft erwirbt oder wenn eine ausländische Körperschaft eine Beteiligung an einer anderen ausländischen Körperschaft erwirbt. 

In diesem Zusammenhang ist jedoch zu beachten, dass die genauen Voraussetzungen für eine internationale Schachtelbeteiligung in § 9 Abs. 3 KStG nicht explizit genannt werden. Es ist jedoch davon auszugehen, dass eine internationale Schachtelbeteiligung entsteht, wenn es sich um eine Beteiligung an einer ausländischen Körperschaft handelt, die bestimmte Voraussetzungen erfüllt, wie z.B. die Anwesenheit von Schachtelbeteiligungen in der Kette. 

Um eine genaue Antwort zu geben, müssten jedoch weitere Informationen und Vorschriften herangezogen werden."
CORP-TAX-013,"Gemäß § 295a BAO kann der Empfänger, wenn er nicht Nutzungsberechtigter ist, auf den Nutzungsberechtigten abgestellt werden. Dies ermöglicht es, dass § 10 KStG (Beteiligungsbefreiung) und § 12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) auf denselben Konzern anwendbar sein können, da die Aufwendungen auf den Nutzungsberechtigten abgestellt werden und dort abgezogen werden können, wenn die Voraussetzungen erfüllt sind."
CORP-TAX-014,"Die Voraussetzungen für eine internationale Schachtelbeteiligung sind nicht explizit in den gegebenen Auszügen genannt. Allerdings wird in § 9 Abs. 3 KStG (Körperschaftsteuergesetz) erwähnt, dass eine internationale Schachtelbeteiligung entsteht, wenn ein Steuerpflichtiger eine Beteiligung an einer ausländischen Körperschaft erwirbt oder wenn eine ausländische Körperschaft eine Beteiligung an einer anderen ausländischen Körperschaft erwirbt. 

In diesem Zusammenhang ist jedoch zu beachten, dass die genauen Voraussetzungen für eine internationale Schachtelbeteiligung in § 9 Abs. 3 KStG nicht explizit genannt werden. Es ist jedoch davon auszugehen, dass eine internationale Schachtelbeteiligung entsteht, wenn es sich um eine Beteiligung an einer ausländischen Körperschaft handelt, die bestimmte Voraussetzungen erfüllt, wie z.B. die Anwesenheit von Schachtelbeteiligungen in der Kette. 

Um eine genaue Antwort zu geben, müssten jedoch weitere Auszüge aus dem Körperschaftsteuergesetz oder andere einschlägige Gesetze herangezogen werden."
CORP-TAX-015,Veräußerungsgewinne aus internationalen Schachtelbeteiligungen fallen nicht unter Ziffer 7 und werden daher nicht von der fassenden Amtshilfe ausgenommen.
CORP-TAX-016,"Nein, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung sind nicht als Betriebsausgabe abzugsfähig, da sie nicht unter die in § 3 bis 5 des Mietrechtsgesetzes genannten Aufwendungen fallen."
CORP-TAX-017,"§ 11 KStG und § 12 KStG regeln den Betriebsausgabenabzug in der Körperschaftsteuer. Der Hauptunterschied zwischen beiden Paragraphen liegt in der Behandlung von Betriebsausgaben.

§ 11 KStG regelt den allgemeinen Betriebsausgabenabzug, wobei alle ordnungsgemäß nachgewiesenen Betriebsausgaben abzugsfähig sind.

§ 12 KStG regelt den Abzug von Betriebsausgaben, die im Ausland angefallen sind. Hierbei müssen bestimmte Voraussetzungen erfüllt sein, damit die Ausgaben abzugsfähig sind.

Insgesamt ist § 11 KStG breiter angelegt und regelt den allgemeinen Betriebsausgabenabzug, während § 12 KStG speziellere Vorschriften für Auslandsausgaben enthält."
CORP-TAX-018,"Ja, freiwillige Spenden zu gemeinnützigen Zwecken sind grundsätzlich abzugsfähig. Dies ergibt sich aus § 4a Abs. 1, der Freigebige Zuwendungen aus dem Betriebsvermögen zu begünstigten Zwecken (Abs. 2) als abzugsfähig betrachtet."
CORP-TAX-019,"Basierend auf dem österreichischen Steuerrecht, sind folgende Aufwendungen bei einer GmbH steuerlich nicht oder nur teilweise abzugsfähig:

- (a) EU-Geldbuße: EU-Geldbußen sind grundsätzlich nicht abzugsfähig, da sie als Strafzahlungen gelten.
- (c) Aufsichtsratsvergütung: Aufsichtsratsvergütungen sind grundsätzlich nicht abzugsfähig, da sie als Privatvergütungen gelten.
- (d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung: Lizenzgebühren an konzernzugehörige Gesellschaften sind nur teilweise abzugsfähig, da die Steuerbelastung auf 8 % begrenzt ist."
CORP-TAX-020,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie nicht innerhalb der Mindestbehaltefrist gezahlt werden."
CORP-TAX-021,Gemäß Ziffer eins bis Ziffer 8 ist der Gewinn bei rechnungslegungspflichtigen Körperschaften zu ermitteln.
CORP-TAX-022,"Um eine Gruppe zu bilden, muss die GmbH die Übertragung der stillen Reserven prüfen. Hier sind die relevanten Aspekte:

- § 7 KStG: Übertragung stiller Reserven bei Gruppenbildung
- § 8 KStG: Kürzung der übertragenen stillen Reserven
- § 9 KStG: Berechnung der übertragenen stillen Reserven
- § 10 KStG: Verwendung der übertragenen stillen Reserven
- § 11 KStG: Übertragungsrücklage
- § 12 KStG: Sonstige Vorschriften

Insbesondere ist § 7 Abs. 7 KStG relevant, da es die Möglichkeit der Verwendung oder Übertragung von 70 % der Einkünfte aus Waldnutzungen infolge höherer Gewalt regelt."
CORP-TAX-023,"Wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt, sind folgende steuerliche Schritte zu beachten:

- Die Verluste des Vorjahres können als vortragsfähige Verluste des Gruppenträgers abgezogen werden.
- Wenn ein ausländischer Verlust mit einem ausländischen Gewinn verrechnet wird oder verrechnet werden könnte, ist ein Betrag in diesem Ausmaß beim beteiligten inländischen Gruppenmitglied bzw. Gruppenträger als Gewinn zu berücksichtigen."
CORP-TAX-024,"Der Gewinnermittlungszeitraum ist ein Kalenderjahr. 

Nach § 8 Abs. 1 KStG kann davon abgewichen werden, wenn ein Unternehmen einen anderen Gewinnermittlungszeitraum wählt, der nicht länger als 12 Monate oder nicht kürzer als 4 Monate ist."
CORP-TAX-025,"Bei der Einkommensermittlung bleiben Einlagen und Beiträge jeder Art insoweit außer Ansatz, als sie von Personen in ihrer Eigenschaft als Gesellschafter, Mitglieder oder in ähnlicher Eigenschaft geleistet werden."
CORP-TAX-026,"Gemäß § 8 Abs. 4 Z 2 lit. b KStG ist der Verlustabzug nicht auf 75 % begrenzt, wenn die Einkünfte, die der Veranlagung zugrunde gelegt wurden, für den Vorauszahlungszeitraum infolge gesetzlicher Maßnahmen aus der Besteuerung ausgeschieden sind."
CORP-TAX-027,Die Mindestbeteiligungsquote für die finanzielle Verbindung im Sinne des § 9 KStG beträgt 40% für mindestens einen Mitbeteiligten und 15% für jeden weiteren Mitbeteiligten.
CORP-TAX-028,Die finanzielle Verbindung muss während des gesamten Wirtschaftsjahres des jeweiligen Gruppenmitglieds bestehen.
CORP-TAX-029,"Nein, Vorgruppenverluste des Gruppenträgers, die aus Teilwertabschreibungen auf Beteiligungen an Körperschaften einer anderen Unternehmensgruppe stammen, können nicht mit dem Gruppengewinn verrechnet werden, da die Unternehmensgruppe beendet ist, wenn der Gruppenträger aus der Gruppe ausscheidet."
CORP-TAX-030,"Wenn eine österreichische Körperschaft in Österreich und in Deutschland unbeschränkt steuerpflichtig ist und als Gruppenträger fungieren möchte, hat dies keine direkte Konsequenz auf die Steuerpflicht. Die Steuerpflicht wird durch die jeweiligen Steuergesetze in Österreich und Deutschland bestimmt. Die Gruppeneinheit kann jedoch Auswirkungen auf die Besteuerung haben, da der Unterschiedsbetrag zwischen dem gemeinen Wert der Wirtschaftsgüter und dem Wert für die Besteuerung zu berücksichtigen ist."
CORP-TAX-031,"Vorgruppenverluste sind vortragsfähige Verluste des Gruppenträgers, die vor Wirksamwerden der Unternehmensgruppe entstanden sind. Diese Verluste können nicht verrechnet werden, da sie nicht auf ein anderes Gruppenmitglied übergehen können (§ 4a Z 4 a)."
CORP-TAX-032,"Laut § 8 Abs. 4 KStG (Körperschaftsteuergesetz) und § 8 Abs. 5 KStG gibt es folgende Unterschiede bei der Verlustverrechnung:

- Höhe: Inländische Gruppenmitglieder können Verluste in voller Höhe mit den Einnahmen der anderen Gruppenmitglieder verrechnen, während ausländische Gruppenmitglieder nur einen Teil der Verluste verrechnen können, der dem Verhältnis der inländischen Einnahmen zur Gesamteinnahme entspricht.
- Grenze: Es gibt keine Höchstgrenze für die Verlustverrechnung bei inländischen Gruppenmitgliedern, während ausländische Gruppenmitglieder nur Verluste verrechnen können, die nicht durch die inländischen Einnahmen gedeckt sind.
- Nachversteuerung: Bei inländischen Gruppenmitgliedern werden Verluste nicht nachversteuert, während ausländische Gruppenmitglieder Verluste nachversteuern müssen, wenn sie in einem anderen Jahr als dem Verlustjahr verrechnet werden."
CORP-TAX-033,"Nein, die Einjahresfrist gilt nicht für Anteile aus Kapitalerhöhungen. Die Einjahresfrist ist nur für die Veräußerung oder Übertragung bestehender internationaler Schachtelbeteiligungen im Rahmen einer Umgründung relevant."
CORP-TAX-034,Die einschlägigen Normen sind Ziffer 4 des Umgründungssteuergesetzes und die Option im Sinne der Z 1.
CORP-TAX-035,"Eine Beteiligung von 8 % an einer deutschen GmbH hat keinen Anspruch auf die internationale Schachtelbegünstigung, da sie nicht die erforderliche 10 %-Schwelle erreicht.

Die Dividende ist jedoch steuerfrei, da die internationale Schachtelbegünstigung die Steuerneutralität der Beteiligung nicht beeinträchtigt, wenn die Beteiligung innerhalb der letzten fünf Wirtschaftsjahre vor der Liquidationseröffnung oder Insolvenz anfallen."
CORP-TAX-036,"Bei einer Umgründung kann die Option zur Steuerwirksamkeit einer Schachtelbeteiligung nur dann wirksam werden, wenn die Beteiligung an der übernehmenden Körperschaft umgründungsbedingt untergeht."
CORP-TAX-037,"Gemäß § 10 KStG sind Gewinnanteile aus ausländischen Schachtelbeteiligungen steuerpflichtig, wenn sie nicht gemäß Absatz 3 oder Absatz 7 angerechnet werden können."
CORP-TAX-038,"Nach § 11 KStG gelten folgende körperschaftsspezifischen Aufwendungen als Betriebsausgaben:

- Befristete Sonderprämien können für jeden Kalendermonat geltend gemacht werden.
- Diese können auch in einer Beilage zur Körperschaftsteuererklärung des betreffenden Jahres geltend gemacht werden.

Es ist jedoch zu beachten, dass die genauen Voraussetzungen und Einschränkungen in § 11 KStG und der Bundesabgabenordnung (BAO) zu berücksichtigen sind."
CORP-TAX-039,"Nach § 12 KStG sind folgende Steuern nicht als Betriebsausgaben abzugsfähig:

- Umsatzsteuer
- Körperschaftsteuer
- Einkommensteuer
- Gewerbesteuer"
CORP-TAX-040,"Zinsen für konzerninterne Beteiligungsfinanzierungen sind nicht abzugsfähig, wenn sie aufgrund gesetzlicher Maßnahmen aus der Besteuerung ausfallen."
CORP-TAX-041,"Das Veranlagungsjahr, in dem der Gewinn eines abweichenden Wirtschaftsjahres erfasst wird, ist das Veranlagungsjahr, in dem das Wirtschaftsjahr endet, für das erstmalig keine Pflicht zur Gewinnermittlung besteht."
CORP-TAX-042,"Das Einkommen einer Körperschaft wird nach § 4 KStG berechnet. Es umfasst das Gesamteinkommen der Körperschaft, das sich aus den Einnahmen und den nicht abzugsfähigen Ausgaben ergibt.

Die Abzüge sind in § 8 KStG geregelt. Dazu gehören:

- Betriebsausgaben
- Werbungskosten
- Abschreibungen
- Sonderausgaben
- Altersvorsorgeaufwendungen
- Spenden und Stiftungen

Es ist jedoch zu beachten, dass bestimmte Ausgaben, wie z.B. Dividenden und Zinsen, nicht abzugsfähig sind."
CORP-TAX-043,"Die relevanten Normen sind:

- § 7 KStG (Begriff des steuerpflichtigen Einkommens)
- § 8 KStG (Begriff des Handelsbilanzgewinns)
- § 9 KStG (Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen)
- § 10 KStG (Abweichungen von der Handelsbilanz)
- § 11 KStG (Verlustabzug)
- § 12 KStG (Verlustvortrag)

Diese Normen regeln die Überleitung vom Handelsbilanzgewinn zum steuerpflichtigen Einkommen einer rechnungslegungspflichtigen GmbH."
CORP-TAX-044,"Nein, die Art der Einkommensverwendung hat keinen Einfluss auf die Einkommensermittlung. Die Einkommensermittlung richtet sich nach § 2 Abs. 3 EStG 1988 und § 8 Abs. 4 EStG 1988, unabhängig davon, wie das Einkommen verwendet wird."
CORP-TAX-045,"Nein, eine Körperschaft mit abweichendem Wirtschaftsjahr kann ihre Verlustvorträge nicht unbegrenzt mit dem Jahresgewinn verrechnen. Die Verlustvorträge sind auf 5 Jahre begrenzt (§ 8 Abs. 1 KStG)."
CORP-TAX-046,"Ein Mantelkauf (§ 8 KStG) und der Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe (§ 9 KStG) haben folgende Gemeinsamkeiten und Unterschiede:

Gemeinsamkeiten:

- Beide Regelungen beziehen sich auf die Verlustverrechnung.
- Beide Regelungen haben Auswirkungen auf die Einkommensverteilung.

Unterschiede:

- Ein Mantelkauf (§ 8 KStG) bezieht sich auf die Veräußerung von Beteiligungen, während der Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe (§ 9 KStG) auf das Ausscheiden aus einer Unternehmensgruppe zutrifft.
- Die Verlustverrechnung bei einem Mantelkauf ist auf den Kapitalanteil beschränkt, während der Verlust von Verlustvorträgen bei Ausscheiden aus einer Gruppe nicht auf den Kapitalanteil beschränkt ist."
CORP-TAX-047,"Eine Körperschaft kann nach einem Mantelkauf ihre Verluste grundsätzlich nicht mehr nutzen, da die wesentliche Änderung der Gesellschafterstruktur auf entgeltlicher Grundlage wirtschaftlich nicht mehr gegeben ist. 

Es gibt jedoch eine Ausnahme: Wenn die Änderungen zum Zwecke der Sanierung des Steuerpflichtigen mit dem Ziel der Erhaltung eines wesentlichen Teiles betrieblicher Arbeitsplätze erfolgen, sind die Verluste abzugsfähig."
CORP-TAX-048,"Laut Paragraph 6, Ziffer 2, Litera c und d des Einkommensteuergesetzes 1988 gelten keine Rückvergütungen von Erwerbs- und Wirtschaftsgenossenschaften als Einkommensverwendung."
CORP-TAX-049,"Wenn ein ausländisches Gruppenmitglied die Unternehmensgruppe verlässt und zuvor zugerechnete Verluste im Ausland noch nicht verrechnet wurden, sind diese Verluste im Jahr des Ausscheidens beim Gruppenmitglied bzw. beim Gruppenträger als Gewinn zuzurechnen."
CORP-TAX-050,"Die Unternehmensgruppe bietet den steuerlichen Vorteil, dass Vorgruppenverluste, einschließlich Abschreibungen auf den niedrigeren Teilwert und Veräußerungsverluste von Beteiligungen an Körperschaften, die bereits Teil einer anderen Unternehmensgruppe waren, nicht mehr verrechnet werden müssen."
CORP-TAX-051,"Für eine Unternehmensgruppe mit inländischem Gruppenträger, profitabler Inlandstochter, Verlusttochter im Inland (mit Vorgruppenverlusten) und Verlusttochter in der EU gelten folgende Bestimmungen der §§ 7–12 KStG:

- § 7 KStG: Gruppenmitgliedschaft, insbesondere die Voraussetzungen für die Bildung einer Unternehmensgruppe
- § 8 KStG: Gruppenmitgliedschaft, insbesondere die Pflichten und Rechte der Gruppenträger und Gruppenmitglieder
- § 9 KStG: Gruppensteuer, insbesondere die Steuerermittlung und -festsetzung für die Unternehmensgruppe
- § 10 KStG: Gruppensteuer, insbesondere die Steuerermittlung und -festsetzung für die Gruppenmitglieder
- § 11 KStG: Gruppensteuer, insbesondere die Steuerermittlung und -festsetzung für die Gruppenmitglieder mit Vorgruppenverlusten
- § 12 KStG: Gruppensteuer, insbesondere die Steuerermittlung und -festsetzung für die Gruppenmitglieder mit Verlusten in der EU

Es ist jedoch zu beachten, dass die genauen Anforderungen und Regelungen je nach spezifischen Umständen der Unternehmensgruppe variieren können."
CORP-TAX-052,"Eine Beteiligungsgemeinschaft kann als Gruppenträger fungieren, wenn sie im Inland unbeschränkt steuerpflichtig ist. Die Mindestquoten für die einzelnen Mitbeteiligten sind nicht explizit in den vorgelegten Auszügen genannt. Es wird jedoch erwähnt, dass ein Mitbeteiligter einer Beteiligungsgemeinschaft nicht gleichzeitig Gruppenmitglied einer anderen Unternehmensgruppe sein kann."
CORP-TAX-053,"Nein, es gibt keine Mindestbeteiligungsquote oder Haltefrist für die Steuerfreiheit inländischer Beteiligungserträge."
CORP-TAX-054,"Die ""Option zur Steuerwirksamkeit"" ist eine Regelung im österreichischen Steuerrecht, die es begünstigten Rechtsträgern ermöglicht, pauschale Reiseaufwandsentschädigungen steuerfrei auszuzahlen. 

Diese Option wird ausgeübt, indem der begünstigte Rechtsträger für jeden Steuerpflichtigen, dem er in einem Kalenderjahr ausschließlich pauschale Reiseaufwandsentschädigungen ausbezahlt hat, diese monatlich im Lohnabrechnungsblatt auszuweisen und dabei die Option zur Steuerwirksamkeit ausdrücklich zu erklären."
CORP-TAX-055,"Eine internationale Schachtelbeteiligung durch Sitzverlegung einer inländischen Tochtergesellschaft ins Ausland führt nicht unbedingt zu einer Änderung der steuerlichen Behandlung der stillen Reserven. 

Gemäß § 6 Abs. 1 Z 1 EStG 1988 (Einkommensteuergesetz 1988) werden stillen Reserven nur dann als Einkünfte anerkannt, wenn sie aufgrund einer inländischen Geschäftsbeziehung entstanden sind. 

Da die stillen Reserven bereits vor der Sitzverlegung entstanden sind, bleiben sie nach wie vor steuerlich relevant, auch wenn die Tochtergesellschaft nun im Ausland ansässig ist."
CORP-TAX-056,"Gemäß § 12 Absatz 12 des Einkommensteuergesetzes (EStG) gilt die Einlagenrückzahlung von Körperschaften als Veräußerung einer Beteiligung. 

(a) Wenn der Verkäufer konzernfremd ist, sind die Zinsen für die Fremdfinanzierung der Beteiligung steuerpflichtig.

(b) Wenn der Verkäufer die Muttergesellschaft ist, sind die Zinsen für die Fremdfinanzierung der Beteiligung steuerfrei, da es sich um eine Innenfinanzierung handelt."
CORP-TAX-057,"Bei nur teilweise steuerpflichtigen Körperschaften gilt die Einschränkung, dass nur die steuerpflichtigen Teile der Betriebsausgaben abgezogen werden dürfen."
CORP-TAX-058,"Bei einer Körperschaft, die nur teilweise steuerpflichtig ist, gilt die Einschränkung, dass der Betriebsausgabenabzug nur auf den steuerpflichtigen Teil der Wirtschaftsgüter angewendet werden kann. Der Unterschiedsbetrag zwischen dem gemeinen Wert der Wirtschaftsgüter und ihrem steuerpflichtigen Teil ist der Besteuerung zugrunde zu legen. Der Freibetrag gemäß Paragraph 24, Absatz 4, des Einkommensteuergesetzes 1988 ist bei einem nicht unter Paragraph 7, Absatz 3, fallenden Steuerpflichtigen abzuziehen."
CORP-TAX-059,"Nein, von Gerichten oder Verwaltungsbehörden verhängte Strafen sind nicht steuerlich abzugsfähig."
CORP-TAX-060,"Aufsichtsratsvergütungen unterliegen dem Steuerabzug. Der Schuldner muss die dem Steuerabzug unterliegenden Beträge aufzeichnen, einschließlich des Zeitpunkts der Zahlung, der Höhe und des Zeitpunkts der Abfuhr der einbehaltenen Steuer."
TAX-INTL-001,"Nein, die Wiener Wohnung begründet keine unbeschränkte Steuerpflicht, da die Angestellte ihren Wohnsitz und ihren gewöhnlichen Aufenthalt in Deutschland hat. Sie ist daher beschränkt steuerpflichtig und nur auf die im § 98 aufgezählten Einkünfte in Österreich veranlagt."
TAX-INTL-002,"Nein, der Investor ist in Österreich nicht beschränkt steuerpflichtig, da er weder Wohnsitz noch gewöhnlichen Aufenthalt in Österreich hat. Daher ist keine besondere Vorauszahlung in Höhe von 30% der Bemessungsgrundlage zu entrichten."
TAX-INTL-003,"Nein, es entsteht keine unbeschränkte Steuerpflicht, da der französische Consultant weniger als sechs Monate im Kalenderjahr in Österreich verweilt."
TAX-INTL-004,"Nein, die Zweitwohnung allein führt nicht zur unbeschränkten Steuerpflicht. Die unbeschränkte Steuerpflicht setzt nach § 1 Abs. 1 EStG 1988 eine dauernde Wohnsitzhaltung im Inland voraus. Da die Managerin sich nicht länger im Inland aufhält, ist dies nicht der Fall."
TAX-INTL-005,"Nein, ein inländischer Wohnsitz wird nicht behalten, wenn der Österreicher seinen Wohnsitz im Ausland hat, also in den USA. Gemäß Absatz 2 des Gesetzes ist das Inland das Bundesgebiet, also Österreich. Der Österreicher hat seinen Wohnsitz im Ausland, daher ist er nicht inländischer Wohnsitz."
TAX-INTL-006,"Nein, eine leerstehende, unmöblierte Wohnung begründet keinen Wohnsitz. Der Begriff ""Wohnsitz"" im Sinne des österreichischen Steuerrechts bezieht sich auf eine Wohnung, die tatsächlich bewohnt wird."
TAX-INTL-007,"Nein, ein inländischer Wohnsitz kann nicht durch den Aufenthalt in einem mobilen Wohnwagen begründet werden. Gemäß § 26 Abs. 2 BAO (Bundesabgabenordnung) ist ein Wohnsitz nur dann im Inland gegeben, wenn der Steuerpflichtige eine Wohnung oder ein Haus im Inland hat, in dem er sich regelmäßig aufhält. Ein mobiler Wohnwagen reicht nicht aus, um einen Wohnsitz zu begründen."
TAX-INTL-008,"Gemäß § 26 Abs. 2 BAO (Bundesabgabenordnung) ist ein inländischer Wohnsitz gegeben, wenn die Person in Österreich wirtschaftlich abhängig ist und in Österreich eine Wohnung oder ein Haus hat, die sie sich als Wohnsitz ausweisen kann. 

Da die Studentin wirtschaftlich von den Eltern abhängig ist und ein Zimmer im Elternhaus in Graz nutzen kann, ist ein inländischer Wohnsitz gegeben."
TAX-INTL-009,"Nein, ein gewöhnlicher Aufenthalt in Österreich liegt nicht vor, da der Arbeitnehmer jeden Abend an seinen ausländischen Wohnsitz zurückkehrt. Der Arbeitnehmer pendelt lediglich täglich zu seinem Arbeitsplatz in Österreich."
TAX-INTL-010,"Nein, ein gewöhnlicher Aufenthalt in Österreich kann nicht entstehen, da der Arbeitnehmer nur am Wochenende heimfährt und die Fahrten zum ständigen Wohnort als steuerfreie Tagesgelder anerkannt werden können."
TAX-INTL-011,"Nein, kurzfristige Auslandsaufenthalte unterbrechen den gewöhnlichen Aufenthalt nicht automatisch. Der gewöhnliche Aufenthalt wird nach § 1 Abs. 3 EStG bestimmt und ist nicht direkt mit der Steuerpflicht für Einkünfte aus Kapitalüberlassung verbunden."
TAX-INTL-012,"Nein, für das Zuzugsjahr sind grundsätzlich zwei Steuerabschnitte zu unterscheiden. Der Steuerpflichtige ist zunächst weiterhin beschränkt steuerpflichtig, bis er die sechs Monate überschritten hat, in denen er in Österreich unbeschränkt steuerpflichtig ist."
TAX-INTL-013,"Nein, der spätere Zufluss ist für die österreichische Erfassung nicht grundsätzlich relevant, da der Bonus bereits vor dem Umzug verdient wurde und somit nicht als Einkommen im Sinne des Paragraph 2, Absatz 3, Ziffer eins bis 3 gilt."
